temperature,city,pression,date
281.13,London,1018,2023-02-23_13:04
282.77,Paris,1015,2023-02-23_13:04
263.49,Washington,1016,2023-02-23_13:04
281.17,London,1018,2023-02-23_12:59
282.77,Paris,1015,2023-02-23_12:59
263.13,Washington,1016,2023-02-23_12:59
281.17,London,1018,2023-02-23_12:57
282.77,Paris,1015,2023-02-23_12:57
263.13,Washington,1016,2023-02-23_12:57
280.92,London,1018,2023-02-23_11:59
282.25,Paris,1015,2023-02-23_11:59
263.75,Washington,1015,2023-02-23_11:59
280.82,London,1018,2023-02-23_11:43
282.08,Paris,1015,2023-02-23_11:43
263.75,Washington,1015,2023-02-23_11:43
280.74,London,1018,2023-02-23_11:40
281.79,Paris,1015,2023-02-23_11:40
263.75,Washington,1015,2023-02-23_11:40
280.74,London,1018,2023-02-23_11:38
281.79,Paris,1015,2023-02-23_11:38
263.75,Washington,1015,2023-02-23_11:38
280.73,London,1018,2023-02-23_11:27
281.65,Paris,1015,2023-02-23_11:27
263.85,Washington,1015,2023-02-23_11:27
280.69,London,1018,2023-02-23_11:24
281.65,Paris,1015,2023-02-23_11:24
263.85,Washington,1015,2023-02-23_11:24
280.63,London,1018,2023-02-23_10:46
281.07,Paris,1015,2023-02-23_10:46
264.16,Washington,1015,2023-02-23_10:46
280.63,London,1018,2023-02-23_10:45
281.07,Paris,1015,2023-02-23_10:45
264.16,Washington,1015,2023-02-23_10:45
280.34,London,1018,2023-02-23_10:42
281.07,Paris,1015,2023-02-23_10:42
264.16,Washington,1015,2023-02-23_10:42
280.34,London,1018,2023-02-23_10:37
280.94,Paris,1015,2023-02-23_10:37
264.17,Washington,1015,2023-02-23_10:37
280.34,London,1018,2023-02-23_10:36
280.94,Paris,1015,2023-02-23_10:36
264.17,Washington,1015,2023-02-23_10:36
280.26,London,1018,2023-02-23_10:27
280.94,Paris,1015,2023-02-23_10:27
264.17,Washington,1015,2023-02-23_10:27
282.14,London,1010,2023-02-22_14:49
282.4,Paris,1013,2023-02-22_14:49
269.02,Washington,1007,2023-02-22_14:49
282.14,London,1010,2023-02-22_14:48
282.4,Paris,1013,2023-02-22_14:48
269.09,Washington,1007,2023-02-22_14:48
282.12,London,1010,2023-02-22_14:44
282.4,Paris,1013,2023-02-22_14:44
269.09,Washington,1007,2023-02-22_14:44
282.12,London,1010,2023-02-22_14:43
282.4,Paris,1013,2023-02-22_14:43
269.09,Washington,1007,2023-02-22_14:43
282.12,London,1010,2023-02-22_14:39
282.34,Paris,1013,2023-02-22_14:39
269.09,Washington,1007,2023-02-22_14:39
282.04,London,1010,2023-02-22_14:30
282.34,Paris,1013,2023-02-22_14:30
269.21,Washington,1006,2023-02-22_14:30
282.04,London,1010,2023-02-22_14:29
282.34,Paris,1013,2023-02-22_14:29
269.21,Washington,1006,2023-02-22_14:29
282.04,London,1010,2023-02-22_14:28
282.33,Paris,1013,2023-02-22_14:28
269.21,Washington,1006,2023-02-22_14:28
280.84,London,1010,2023-02-22_10:47
282.58,Paris,1013,2023-02-22_10:47
270.21,Washington,1004,2023-02-22_10:47
280.84,London,1010,2023-02-22_10:46
282.58,Paris,1013,2023-02-22_10:46
270.21,Washington,1004,2023-02-22_10:46
280.84,London,1010,2023-02-22_10:45
282.58,Paris,1013,2023-02-22_10:45
270.21,Washington,1004,2023-02-22_10:45
280.63,London,1010,2023-02-22_10:29
282.44,Paris,1013,2023-02-22_10:29
270.49,Washington,1004,2023-02-22_10:29
280.63,London,1010,2023-02-22_10:28
282.44,Paris,1013,2023-02-22_10:28
270.49,Washington,1004,2023-02-22_10:28
280.49,London,1010,2023-02-22_10:27
282.44,Paris,1013,2023-02-22_10:27
270.49,Washington,1004,2023-02-22_10:27
280.49,London,1010,2023-02-22_10:26
282.44,Paris,1013,2023-02-22_10:26
270.49,Washington,1004,2023-02-22_10:26
280.49,London,1010,2023-02-22_10:25
282.44,Paris,1013,2023-02-22_10:25
270.49,Washington,1004,2023-02-22_10:25
280.49,London,1010,2023-02-22_10:24
282.18,Paris,1013,2023-02-22_10:24
270.49,Washington,1004,2023-02-22_10:24
283.61,London,1019,2023-02-16_12:01
282.06,Paris,1026,2023-02-16_12:01
269.64,Washington,1027,2023-02-16_12:01
283.62,London,1023,2023-02-15_12:19
280.76,Paris,1027,2023-02-15_12:19
268.72,Washington,1027,2023-02-15_12:19
